,base,tag
0,a,conj
1,móc,praet:pl:m2:imperf
2,",",interp
3,bo,comp
4,moi,subst:pl:dat:m1
5,zdanie,subst:sg:inst:n
6,być,praet:sg:n:imperf
7,do,prep:gen
8,nic,subst:sg:nom:n
9,.,interp
10,i,conj
11,to,conj
12,delikatnie,adv:pos
13,mówić,fin:sg:ter:imperf
14,rzecz,subst:sg:gen:f
15,gust,subst:sg:nom:m3
16,:,interp
17,),interp
18,ja,ppron12:sg:nom:m1:pri
19,siebie,siebie:inst
20,z,prep:gen:wok
21,przyjemność,subst:sg:inst:f
22,obejrzeć,inf:perf
23,wczoraj,adv:pos
24,"""",interp
25,Live,ign
26,Anda,subst:pl:gen:f
27,Let,ign
28,Die,ign
29,nareszcie,qub
30,bez,prep:gen:nwok
31,Connery'ego,ign
32,!,interp
33,pasować,ger:sg:dat:n:imperf:aff
34,najbardziej,adv:pos
35,wszyscy,subst:pl:gen:m1
36,może,qub
37,trochę,adv:pos
38,za,qub
39,ładny,adj:sg:nom:n:pos
40,ale,conj
41,gra,subst:sg:acc:f
42,IMHO,ign
43,Connery,subst:sg:nom:m1
44,nie,conj
45,święta,subst:sg:acc:f
46,krowa,subst:pl:gen:f
47,;,interp
48,kto,subst:sg:nom:m1
49,znać,fin:sg:sec:imperf
50,ten,adj:sg:gen:f:pos
51,reklama,subst:sg:dat:f
52,przed,prep:acc:nwok
53,ukierunkowywać,praet:sg:m1:imperf
54,popyt,subst:sg:nom:m3
55,tworzyć,fin:sg:ter:imperf
56,marketing,subst:sg:gen:m3
57,komórka,subst:sg:gen:f
58,całkowicie,adv:pos
59,zły,adj:sg:nom:n:com
60,przykład,subst:sg:nom:m3
61,dowód,subst:pl:gen:m3
62,?,interp
63,tyle,adv:pos
64,stulecie,subst:pl:gen:n
65,żyć,fin:sg:ter:imperf
66,papier,subst:pl:gen:m3
67,drukarnia,subst:sg:gen:f
68,aut,subst:pl:loc:m3
69,komputer,subst:sg:gen:m3
70,itp,ign
71,itd,ign
72,pozdrawiać,fin:sg:pri:imperf
73,Arek,subst:sg:gen:m1
74,p,ign
75,sekunda,brev:npun
76,gdyby,comp
77,rozmowa,subst:pl:gen:f
78,przez,prep:acc:nwok
79,kosztować,fin:sg:ter:imperf
80,ile,adv:pos
81,powinny,adj:sg:nom:m1:pos
82,(,interp
83,czyli,conj
84,mało,adv:pos
85,niż,conj
86,w,prep:acc:nwok
87,telekomuna,subst:sg:dat:f
88,by,comp
89,on,ppron3:sg:gen:m1:ter:akc:praep
90,30,num:pl:nom:m1:rec
91,milion,subst:pl:nom:m3
92,3,num:pl:nom:m1:rec
93,[,interp
94,],interp
95,no,qub
96,prosić,fin:sg:pri:imperf
97,już,qub
98,Michał,subst:sg:nom:m1
99,my,ppron12:pl:gen:m1:pri
100,się,qub
101,zniżyć,ger:sg:nom:n:perf:aff
102,poziom,subst:sg:inst:m3
103,bruk,subst:sg:gen:m3
104,co,comp
105,też,qub
106,człowiek,subst:sg:nom:m1
107,wychodzić,praet:pl:m2:imperf
108,mama,subst:sg:gen:f
109,nadzieja,subst:sg:acc:f
110,chyba,qub
111,zbrzydły,adj:sg:nom:f:pos
112,wacha,subst:sg:dat:f
113,płacz,subst:pl:nom:m3
114,zastanawiać,praet:sg:m1:imperf
115,wy,ppron12:pl:dat:m1:sec
116,szukać,inf:imperf
117,list,subst:sg:nom:m3
118,taki,adj:sg:nom:n:pos
119,imbecyl,subst:sg:gen:m1
120,cham,subst:sg:loc:m1
121,etc,ign
122,oby,qub
123,obietnica,subst:pl:gen:f
124,jak,conj
125,tym,conj
126,stara,subst:pl:nom:f
127,polski,subst:pl:nom:m3
128,przysłowie,subst:sg:gen:n
129,dać,praet:sg:f:perf
130,dupa,subst:sg:dat:f
131,smutek,subst:pl:nom:m3
132,parodia,subst:sg:nom:f
133,prowadzić,fin:sg:ter:imperf
134,dysputa,subst:sg:gen:f
135,ktoś,subst:sg:nom:m1
136,bóg,subst:sg:voc:m1
137,dzięki,prep:dat
138,że,comp
139,chociaż,comp
140,film,subst:pl:gen:m3
141,widzieć,praet:sg:m1:imperf
142,eee,interj
143,jasny,adj:sg:nom:n:pos
144,kiedy,comp
145,gdzie,adv:pos
146,choć,comp
147,musza,subst:sg:acc:f
148,lojalnie,adv:pos
149,uprzedzić,praet:sg:f:perf
150,mistrz,subst:sg:inst:m1
151,pierwsze,subst:sg:gen:n
152,krok,subst:sg:nom:m3
153,bokserski,adj:pl:gen:m1:pos
154,pozdravka,ign
155,jaro,adv:pos
156,jeśli,comp
157,chodzić,fin:sg:ter:imperf
158,o,prep:acc
159,znosze,ign
160,calego,ign
161,mycie,subst:sg:gen:n
162,nowoczesny,adj:pl:gen:m1:pos
163,bzdura,subst:pl:gen:f
164,Kubus,ign
165,Puchatek,subst:sg:gen:m1
166,Milne,subst:sg:nom:m1
167,tu,adv:pos
168,nowy,subst:sg:nom:m1
169,chcieć,fin:sg:ter:imperf
170,sam,adj:pl:nom:m1:pos
171,sugerować,praet:pl:m1:imperf
172,temu,prep:acc
173,również,qub
174,szansa,subst:pl:nom:f
175,który,adj:pl:gen:m1:pos
176,siedzieć,praet:pl:m1:imperf
177,nos,subst:sg:loc:m3
178,usenecie,ign
179,powód,subst:sg:gen:m3
180,finansowo,adv:pos
181,-,interp
182,egzystencjalny,adj:sg:nom:n:pos
183,skoro,comp
184,tak,adv:pos
185,punktacja,subst:sg:acc:f
186,dla,prep:gen
187,całość,subst:sg:gen:f
188,zabawa,subst:sg:gen:f
189,dwa,num:pl:nom:m1:rec
190,czy,conj
191,trzy,num:pl:nom:m1:rec
192,zwycięzca,subst:sg:acc:m1
193,zaszkodzić,inf:perf
194,zaufanie,subst:sg:dat:n
195,uff,interj
196,prawdopodobnie,adv:pos
197,gwałt,subst:sg:nom:m3
198,jaki,adj:sg:gen:f:pos
199,miał,subst:pl:nom:m3
200,dokonać,praet:sg:m1:perf
201,na,prep:acc
202,Ewa,subst:sg:nom:f
203,k,prep:dat
204,teścia,subst:pl:gen:f
205,wzburzyć,ppas:sg:gen:m1:perf:aff
206,krzyknąć,praet:sg:m1:perf
207,mąż,subst:sg:nom:m1
208,zabić,praet:sg:m1:perf
209,ty,ppron12:sg:gen:m1:sec:nakc
210,wybiec,praet:sg:m1:perf
211,kuchnia,subst:sg:gen:f
212,po,prep:acc
213,nóż,subst:sg:inst:m3
214,ugodzić,praet:sg:m1:perf
215,nim,comp
216,Roman,subst:sg:nom:m1
217,serce,subst:sg:dat:n
218,mężczyzna,subst:sg:acc:m1
219,zemrzeć,praet:sg:n:perf
220,miejsce,subst:sg:gen:n
221,wyjechać,praet:sg:m1:perf
222,Polska,subst:sg:dat:f
223,wrócić,praet:pl:m1:perf
224,spożywczak,subst:pl:gen:m3
225,okleić,ppas:sg:nom:n:perf:aff
226,pijak,subst:sg:nom:m1
227,gówno,subst:sg:gen:n
228,mucha,subst:sg:gen:f
229,schizomatki,ign
230,zostać,praet:sg:f:perf
231,tłuczek,subst:pl:inst:m3
232,–,interp
233,kość,subst:sg:nom:f
234,chuj,subst:sg:gen:m1
235,japoński,adj:pl:nom:m1:pos
236,skorupa,subst:sg:dat:f
237,łup,subst:sg:inst:m3
238,błysk,subst:sg:nom:m3
239,marzenia,subst:pl:nom:n
240,wabić,fin:sg:ter:imperf
241,glinian,subst:pl:nom:m3
242,Graal,ign
243,utłuc,inf:perf
244,rokokowy,adj:sg:inst:m1:pos
245,samojebem,ign
246,dziecko,subst:pl:nom:n
247,krew,subst:sg:gen:f
248,sperma,subst:sg:nom:f
249,chromosom,subst:sg:nom:m3
250,ślina,subst:sg:gen:f
251,albo,conj
252,ubić,ppas:sg:acc:f:perf:aff
253,facet,subst:sg:gen:m1
254,wiecznie,adv:pos
255,zadarty,adj:sg:nom:m1:pos
256,ornamencikiem,ign
257,rozporek,subst:sg:dat:m3
258,statek,subst:pl:gen:m3
259,powoli,adv:pos
260,lekko,adv:pos
261,drżeć,fin:pl:ter:imperf
262,wypływać,pact:sg:nom:n:imperf:aff
263,pastelowy,adj:sg:gen:f:pos
264,przestrzeń,subst:sg:gen:f
265,głos,subst:sg:inst:m3
266,pasażer,subst:pl:gen:m1
267,leniwie,adv:pos
268,przechadzać,praet:pl:m1:imperf
269,pokład,subst:sg:nom:m3
270,były,subst:sg:nom:m1
271,stłumiony,adj:sg:nom:m1:pos
272,dochodzić,ppas:sg:gen:m1:imperf:aff
273,Helena,subst:sg:acc:f
274,ściana,subst:sg:acc:f
275,miara,subst:sg:acc:f
276,oddalać,pact:sg:nom:n:imperf:aff
277,od,prep:gen:nwok
278,ląd,subst:sg:gen:m3
279,odczuwać,inf:imperf
280,coraz,adv:pos
281,duży,adj:pl:inst:m1:sup
282,spokój,subst:sg:gen:m3
283,kompletnie,adv:pos
284,niezrozumiały,adj:sg:nom:f:pos
285,jakiś,adj:sg:gen:f:pos
286,wewnętrzny,subst:sg:inst:m3
287,czystość,subst:sg:gen:f
288,stan,subst:sg:nom:m3
289,szczególny,adj:sg:gen:m1:pos
290,łaska,subst:sg:acc:f
291,przypłynąć,praet:sg:m1:perf
292,słowo,subst:sg:gen:n
293,ulubiony,subst:sg:nom:m1
294,piosenka,subst:sg:nom:f
295,zacząć,praet:sg:m1:perf
296,cicho,adv:pos
297,nucić,imps:imperf
298,Jerzy,subst:sg:nom:m1
299,żaden,adj:pl:gen:m1:pos
300,pociecha,subst:sg:gen:f
301,odwrócić,inf:perf
302,szybko,adv:pos
303,wyjść,fin:sg:ter:perf
304,kawiarnia,subst:sg:gen:f
305,wieczor,subst:sg:inst:m3
306,raz,subst:sg:nom:m3
307,kolejny,adj:sg:nom:n:pos
308,przegryzać,praet:sg:m1:imperf
309,cały,adj:sg:gen:m1:pos
310,historia,subst:sg:nom:f
311,oprócz,prep:gen
312,żal,pred
313,rozczarowanie,subst:sg:gen:n
314,odkryć,fin:pl:ter:perf
315,także,qub
316,uczucie,subst:sg:gen:n
317,ulga,subst:sg:nom:f
318,powracać,pact:sg:nom:m1:imperf:aff
319,rozsądek,subst:sg:nom:m3
320,otrzeźwić,praet:sg:m1:perf
321,go,subst:sg:nom:n
322,ironiczny,adj:sg:nom:f:pos
323,oko,subst:pl:inst:n
324,Zelmana,ign
325,„,interp
326,wiedzieć,praet:sg:f:imperf
327,pan,subst:sg:dat:m1
328,czuj,subst:pl:nom:m2
329,”,interp
330,dobre,subst:sg:nom:n
331,nawiedzony,subst:sg:nom:m1
332,bluesowo,ign
333,grubas,subst:pl:inst:m1
334,meander,subst:pl:loc:m3
335,była,subst:sg:nom:f
336,szczery,adj:pl:gen:m1:pos
337,empatia,subst:sg:nom:f
338,pozór,subst:pl:gen:m3
339,sympatyczny,adj:sg:gen:m1:pos
340,odruch,subst:sg:gen:m3
341,współczucie,subst:sg:nom:n
342,ukrywać,fin:sg:ter:imperf
343,jawny,adj:pl:gen:m1:pos
344,drwina,subst:sg:nom:f
345,naczytać,praet:sg:m1:perf
346,przypadkowy,adj:pl:gen:m1:pos
347,spotkanie,subst:sg:gen:n
348,naturalny,adj:sg:nom:n:pos
349,sposób,pred
350,rodzić,pact:sg:nom:m1:imperf:aff
351,bliskość,subst:sg:nom:f
352,intymność,subst:sg:gen:f
353,płynąć,inf:imperf
354,obcość,subst:sg:nom:f
355,coś,qub
356,muszy,adj:pl:nom:m1:pos
357,przecież,qub
358,mocno,adv:pos
359,łączyć,ger:sg:gen:n:imperf:aff
360,wystarczyć,fin:sg:ter:perf
361,wspólny,adj:sg:inst:m1:pos
362,podróż,subst:sg:gen:f
363,przemierzać,praet:pl:m1:imperf
364,ramia,subst:sg:acc:f
365,kawałek,subst:sg:loc:m3
366,ziarenko,subst:sg:gen:n
367,piasek,subst:sg:gen:m3
368,wąski,adj:sg:nom:m1:pos
369,przesmyk,subst:sg:gen:m3
370,klepsydra,subst:pl:gen:f
371,rzeczywiście,adv:pos
372,kiedyś,adv:pos
373,spotkać,fin:sg:ter:perf
374,szczerze,adv:pos
375,ani,conj
376,wierzyć,inf:imperf
377,te,subst:sg:nom:n
378,patetyczny,adj:sg:nom:n:pos
379,pierdóły,ign
380,wędrówka,subst:sg:gen:f
381,dusz,subst:sg:nom:m3
382,efektowny,adj:sg:nom:n:pos
383,inkarnacja,subst:sg:gen:f
384,konik,subst:sg:loc:m1
385,polny,adj:sg:nom:f:pos
386,antylopa,subst:sg:acc:f
387,późno,adv:pos
388,grzeczny,adj:sg:acc:f:pos
389,buddyjski,adj:sg:nom:f:pos
390,mnich,subst:sg:nom:m1
391,sprawiedliwie,adv:pos
392,wstyd,pred
393,faworyzować,fin:sg:pri:imperf
394,upychać,inf:imperf
395,im,comp
396,kieszenia,subst:sg:gen:f
397,pieniądz,subst:pl:gen:m3
398,słodycz,subst:sg:gen:f
399,równo,adv:pos
400,męczyć,inf:imperf
401,troska,subst:sg:gen:f
402,pouczenie,subst:pl:gen:n
403,zawsze,adv:pos
404,nigdy,adv:pos
405,zostawiać,fin:sg:ter:imperf
406,puste,subst:sg:nom:n
407,ręka,subst:pl:loc:f
408,jakby,comp
409,domagać,praet:sg:m1:imperf
410,zadośćuczynienie,subst:sg:nom:n
411,konkretny,adj:sg:gen:m1:pos
412,zapłata,subst:sg:gen:f
413,pierwszorzędny,adj:sg:gen:f:pos
414,babcia,subst:sg:nom:f
415,zdać,praet:sg:m1:perf
416,obszerny,adj:sg:nom:n:pos
417,relacja,subst:sg:gen:f
418,opisać,ppas:sg:nom:n:perf:aff
419,barwnie,adv:pos
420,dowcipnie,adv:pos
421,urok,subst:sg:gen:m3
422,wyżywienie,subst:sg:nom:n
423,męka,subst:sg:acc:f
424,zakwaterowanie,subst:sg:nom:n
425,miła,subst:sg:nom:f
426,powierzchowność,subst:sg:nom:f
427,sąsiad,subst:pl:gen:m1
428,zaleta,subst:sg:nom:f
429,okolica,subst:sg:gen:f
430,szkoda,subst:sg:gen:f
431,zobaczyć,fin:pl:pri:perf
432,pomyśleć,impt:sg:sec:perf
433,znaleźć,inf:perf
434,komiczny,adj:sg:gen:m1:pos
435,wszystko,adv:pos
436,wcale,adv:pos
437,śmieszny,adj:sg:gen:m1:pos
438,tragiczny,adj:sg:nom:m1:sup
439,nawet,qub
440,smutny,adj:sg:gen:f:pos
441,grupka,subst:sg:gen:f
442,zgwałcić,praet:sg:m1:perf
443,los,subst:sg:loc:m3
444,biedak,subst:sg:loc:m1
445,koniec,subst:sg:loc:m3
446,swoje,subst:sg:nom:n
447,życie,subst:sg:dat:n
448,hodować,fin:sg:ter:imperf
449,mit,subst:pl:nom:m3
450,smętny,adj:sg:nom:n:pos
451,podpity,adj:sg:nom:m1:pos
452,samczyk,subst:sg:nom:m2
453,puszyć,impt:sg:sec:imperf
454,stado,subst:sg:inst:n
455,zdziecinniały,adj:pl:gen:m1:pos
456,staruszek,subst:sg:gen:m1
457,ważyć,fin:sg:ter:imperf
458,dłoń,subst:sg:gen:f
459,mały,adj:sg:gen:f:com
460,srebrny,adj:sg:nom:m1:pos
461,aparacik,subst:sg:nom:m3
462,czuć,fin:sg:sec:imperf
463,wobec,adv:pos
464,urządzenie,subst:sg:dat:n
465,instynktowny,adj:sg:inst:m1:pos
466,lęk,subst:sg:gen:m3
467,niechęć,subst:sg:nom:f
468,wbrew,adv:pos
469,wzbraniać,fin:sg:ter:imperf
470,długi,adj:sg:nom:m1:com
471,lato,subst:pl:gen:n
472,posiadanie,subst:sg:gen:n
473,dlaczego,adv:pos
474,prosty,adjp
475,bardziej,adv:pos
476,nachalny,adj:sg:inst:m1:pos
477,świat,subst:sg:gen:m3
478,odciąć,praet:pl:m1:perf
479,okrągło,adv:pos
480,dostępny,adj:sg:inst:m1:pos
481,teraz,adv:pos
482,niestety,qub
483,musieć,praet:sg:n:imperf
484,cierpliwie,adv:pos
485,wycisnąć,praet:sg:m1:perf
486,numer,subst:sg:gen:m3
487,dotyk,subst:sg:nom:m3
488,mieć,praet:pl:m1:imperf
489,pojęcie,subst:sg:nom:n
490,otulić,praet:sg:f:perf
491,podtrzymywać,ger:sg:nom:n:imperf:aff
492,uścisk,subst:sg:gen:m3
493,nad,prep:acc:nwok
494,przepaść,subst:sg:gen:f
495,orgazm,subst:sg:gen:m3
496,próbować,fin:sg:pri:imperf
497,nowo,adv:pos
498,stworzyć,praet:sg:m1:perf
499,ciało,subst:sg:nom:n
500,usiłować,fin:sg:ter:imperf
501,oddzielić,ppas:sg:nom:n:perf:aff
502,Kamil,subst:sg:gen:m1
503,zamiast,conj
504,dopasowywać,inf:imperf
505,przyzwyczajać,praet:pl:m2:imperf
506,spanie,subst:sg:gen:n
507,jeden,subst:sg:nom:m2
508,bok,subst:sg:inst:m3
509,nastrój,subst:pl:nom:m3
510,upodobanie,subst:pl:gen:n
511,zrastać,pact:sg:acc:f:imperf:aff
512,razem,adv:pos
513,medytować,fin:sg:pri:imperf
514,jedla,subst:sg:gen:f
515,samo,adv:pos
516,oglądać,inf:imperf
517,rozstawać,praet:sg:m1:imperf
518,miesiąc,subst:sg:loc:m3
519,dopiero,qub
520,dzisiaj,adv:pos
521,trędowaty,subst:pl:nom:m1
522,kaplica,subst:sg:gen:f
523,rozdzielić,imps:perf
524,kat,subst:sg:nom:m1
525,ofiara,subst:sg:gen:f
526,odpychać,pcon:imperf
527,przyciąganie,subst:sg:nom:n
528,mimo,adv:pos
529,przeszkadzać,fin:pl:pri:imperf
530,ulewny,adj:sg:inst:m1:pos
531,deszcz,subst:sg:nom:m3
532,przenikliwy,adj:sg:inst:m1:pos
533,zimno,adv:pos
534,celnie,adv:pos
535,strzelająca,subst:pl:gen:f
536,spośród,prep:gen
537,prawie,qub
538,zawodnik,subst:pl:nom:m1
539,okazać,praet:sg:n:perf
540,nasz,adj:sg:gen:f:pos
541,redakcyjny,adj:sg:nom:m1:pos
542,kolega,subst:pl:gen:m1
543,Ryszard,subst:sg:nom:m1
544,Stelmaszczyk,ign
545,zająć,praet:pl:m1:perf
546,Marek,subst:sg:gen:m1
547,Mierzwiak,ign
548,radio,subst:sg:dat:n
549,Katowice,subst:pl:nom:n
550,Andrzej,subst:sg:gen:m1
551,Kanonowicz,ign
552,magazyn,subst:sg:gen:m3
553,ochroniarz,subst:sg:gen:m1
